show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s5320,Movie,JFK's Women: The Scandals Revealed,Howard J. Ford,"Chris Rock, Rosario Dawson, Gabrielle Union, Cedric The Entertainer, J.B. Smoove, Tracy Morgan, Kevin Hart","Italy, Canada","July 27, 2021",1924.0,ALL_AGES,93 min,"Documentary, LGBTQ, Special Interest","When Will and Harper's game is illegally cloned, they seek an attorney. Hiring ""golden boy"" Keith, their chances look good. Then Will starts to fall for Sophie, who happens to be Keith's girlfriend. This conflict of interest pits Will between his heart and both his work and best friend."
s7607,Movie,Freelancers: Mexico,Fred Durst,"John Cusack, Rainn Wilson, Sasha Lane","Australia, Colombia, United Kingdom","October 1, 2021",1958.0,7+,151 min,"Arthouse, Drama, Kids",This documentary series focuses on extreme construction projects and the machines used to create extraordinary structures.
s9156,TV Show,,Raja Sen,,"United States, United Arab Emirates","June 29, 2021",1990.0,UNRATED,1 min,"Kids, LGBTQ, Romance",Never before seen footage from the award-winning movie Borat Subsequent Moviefilm
s6968,TV Show,Grossology,Chinna,Magnus Ringblom Quartet,"United States, Ireland","June 23, 2021",1960.0,ALL_AGES,160 min,"Arts, Entertainment, and Culture, Romance","Rayappan a local don lives in Chennai city slum. He does lot of social welfare for the people in his area. Rayappan’s son Michael, a Football player along with his friends Kiran and Donald participates in National Football Championship and has already reached semifinal, Michael falls in love with Angel Aasirvatham, a Physiotherapist student."
s1783,Movie,,Krishna Ashu Bhati,"Ah-in YOO, Steven YEUN, Jong-seo JUN","United Kingdom, United States, India","July 1, 2021",1920.0,G,130 min,"Action, Anime, Comedy","Who can forget falling in love, especially the first time and then losing touch? From the high school sweetheart who moved away, to the holiday romance that fizzled because of lost phone numbers, the emotional treasure hunts produce conclusions both heart-warming and heart-wrenching."
s3854,TV Show,Morphle Non-Dialogue - Mila and Morphle Save the Day,Percy Adlon,"Glennellen Anderson, Taylor-Grace, Xavier Price, Mitchell Slan, Alex O'Neill, Nicholas S. Miller, Adrian Mauro, Johnson Marquarius",United Kingdom,"August 21, 2021",2005.0,7+,55 min,"Action, Military and War, Western","When you live in a world where thinness is hailed as the ultimate standard of beauty, an intense passion for food feels a bit like a curse. Which is why, on more than one occasion, Xiao Xiao has wished she could have lived during the time of the Tang Dynasty, where plump women were considered to be the epitome of beauty."
s6636,,She,Jay Silverman,"Bradley Cooper, Jennifer Lawrence, Rhys Ifans, Toby Jones",Australia,"August 27, 2021",1963.0,UNRATED,55 min,"Action, Adventure, Comedy","After Margaret meets her ex-boyfriend's fiancé, she goes on an adventure with Henry and Sam. What starts as a search for LSD quickly puts them at the center of an heiress's disappearance that she is determined to solve."
s3031,Movie,Jeevan Ek Sanghursh,Kate Barker-Froyland,Karunesh Talwar,"United States, Italy","July 24, 2021",1929.0,NR,128 min,"Drama, Kids, Romance","The Tripathi family is busy gearing up for an unusual wedding, when something more unusual hits them smack on their smiling, ‘Indian Shaadi’ ready faces. The newest couple of their family, cannot be a ‘couple’ in the first place! While the two love birds share ‘achaar’ and ‘elaichis’, the Tripathi family is busy plotting the end of their relationship."
s6039,Movie,Pinkfong! Baby Shark Nursery Rhymes,Peter Bogdanovich,"Lezley McSpadden, Michael Brown Sr.","United States, Japan, Singapore, South Korea","June 21, 2021",1941.0,PG,21 Seasons,"Action, Drama, Sports","Not Left In Vegas is the Hilarious new comedy from Kamal Smith that shows what really happens on the road to saying 'I Do"" So buckle up and get ready to witness all the love, drama and secrets that comes to light when planning a wedding."
s7379,TV Show,Surgeons: At the Edge of Life,"Arthur Wong, Brandy Yuen","Tom Berenger, William McNamara, Erika Eleniak, Crispin Glover","United Kingdom, United States, India","June 20, 2021",1941.0,AGES_16_,155 min,"Special Interest, Sports",A victim plagued with paranormal attacks passes an evil entity on to a single mother and her two teenage daughters.
s102,Movie,Valley of Ditches,Melissa Finell,"Andrew Clarke, Brett Climo, Guy Pierce","India, Denmark","June 29, 2021",1949.0,NOT_RATE,164 min,"Adventure, Animation, Kids","Akira Kurosawa retells Shakespeare's classic tragedy King Lear against a samurai backdrop. Lord Hidetora is a warlord who transfers his kingdom to his eldest son. A power struggle ensues, incited by his two disinherited younger sons."
s8319,Movie,La Cambiale,Johan Nijenhuis,"Nina Kerval-Bey, Julie Depardieu, Stefano Accorsi","China, United States, United Kingdom","June 18, 2021",1946.0,AGES_18_,28 min,"Arthouse, Comedy, Romance",A man's quest to discover if he was saved by a miracle.
s9240,Movie,ALL FIRED UP,Adam R. Steigert,"Bailey Humiston, Cameron Vaccaro, Brandyn T. Williams",India,"May 19, 2021",2008.0,G,14 min,"Action, Comedy, Special Interest","During a weekend corporate retreat, her best friends convince unlucky-in-love Lonnie to ""switch the script"" and take control of men. Lonnie impresses every man in the place with her beauty and most importantly, her boss' good-looking son David. Lots of laughs and heartfelt moments take place as we watch as Lonnie tries to embrace her new personality without turning away what may be ""Mr. Right."""
s5994,TV Show,Kaatskill Kannibals,Veljko Bulajic,"Romi Dias, Isabel Taysin Carter","United Kingdom, Canada, United States","April 13, 2021",1944.0,NC-17,81 min,"LGBTQ, Romance","A high school teenagers life is changed when a fellow student introduces him to a video game called ""The Pathway"". He realizes that The Pathway is the cause of the deaths of his friends, he confronts it's creator, a satanist. This encounter reveals the identity of The Beast and puts him in a race against time to end the bloodshed and save his crippled mother."
s3006,TV Show,TikTok,"Rupert Julian, Eric von Stroheim","Simon Baker, Paz Vega, Chloe Moretz",Switzerland,"May 12, 2021",1940.0,TV-G,97 min,"Action, Arts, Entertainment, and Culture, Music Videos and Concerts","Following in the footsteps of blockbuster Mojin: The Lost Legend and based on the bestselling novel series, Mojin: The Worm Valley once again finds legendary tomb explorer Hu Bayi on a dangerous mission as he seeks out the Tomb of Emperor Xian, located on an island of monstrous creatures in this mystical action-adventure."
s142,Movie,In a Lonely Place,Youssef Delara,"Alex Smyth, Laura Bain, Shelby Travers, Grant Hardy, Bethany Deer","United States, Japan, Singapore, South Korea","June 21, 2021",1970.0,PG-13,192 min,"Drama, Music Videos and Concerts","Kabir, Dhungya and Dhairya undertake a challenge to put their senior and arch nemesis Naru down. But to win the challenge, a proof of completing the task must be submitted."
s5974,Movie,Seven Alone,Kenneth Branagh,"Barbara Alyn Woods, Tina Ivlev, Lexi Ainsworth",South Africa,"August 27, 2021",1936.0,G,96 min,"Action, Arts, Entertainment, and Culture, Drama","Dean Gallagher and Chase are brothers. Competitive alpha males, they argue over everything, agree on nothing, but defend each other from outsiders no matter what. They're also members of the elite Rescue Special Operations Unit."
s7395,TV Show,No Greater Love,James Melkonian,"Alex Riley, Travis Stevens, Max Carter, Johnny Hands, Garrett Kinsley, Riley Finch, Jacob Hansen, Trevor Harris",Austria,"August 27, 2021",1937.0,ALL_AGES,193 min,"Action, Science Fiction, Suspense","Rana (John Vijay) kills the State Minister's bodyguard and forces him to sign a deal to open a resort in Anegudde, an elephant reserve. Later, he also hatches a plan to get tribal people out from their houses. Krishna(Yash) a happy go lucky guy vows to protect the forest unaware of the fact that he's a Bahubali in his previous birth."
s2790,,Gladiators of Rome,Omar Lulu,"Petra Hřebíčková, Eliška Balzerová, Tatiana Dyková",United States,,1977.0,TV-14,102 min,"Action, Horror, Science Fiction",The best geriatric lesbian road movie you have ever seen. Thelma and Louise eat your heart out.
s739,Movie,"Cougars, Inc.",John Madden,Tony Goodman Aik Odiase Nazareth Jason,"India, Sweden","September 9, 2021",2007.0,AGES_18_,,"Drama, Historical, Romance","On Friday evenings in Lynnsmouth Community Centre, meets a group led by Father Jonathan Crowe. Together they share their stories - tales of strange occurrences, horrific events and bizarre encounters that have scarred their lives. Tonight, a young tormented woman called Jenny will share a story of her experience with a game of chance that sealed the fate of her family... Presented by ALTER."
s1236,Movie,Citizens of the World,Kapil Batra,"Todd Bruno, Emily Sweet, Joe Martyn Ricke, Sara Bailey, Benjamin Byron Bethel","China, United States, United Kingdom","May 19, 2021",1975.0,NOT_RATE,,"Adventure, Kids","Two priests charged with traveling the world to validate ""miracles"" find themselves tangled in events filled with deceit. As members of the Assembly of Saints, Robert Nicholas and Kou Hiraga seek the truth behind the supposed works of God."
s7160,Movie,Acres and Acres,Yakov Smirnoff,"Billy Bob Thornton, Nina Arianda, Tania Raymonde","United Kingdom, France","August 18, 2021",2016.0,TV-MA,52 min,"Drama, Music Videos and Concerts",Members of a motorcycle gang swear revenge after one of their number is killed in a backwater California town.
s186,TV Show,One of Her Own,Anu Menon,Sean Pertwee,"United States, United Arab Emirates","June 20, 2021",2013.0,TV-PG,70 min,"Faith and Spirituality, Kids, Special Interest","A driving instructor is ordered by a gangster to take Shakeela, a young woman, to a landlord, Daksha Bhai. But he later learns of a secret that could endanger her life unless he acts fast."
s2108,TV Show,Bad Impulse,"Chris W. Freeman, Spain Willingham","Hal Holbrook, Walter Cronkite, Andy Rooney, Michael J. Samek","Poland, United States","July 20, 2021",1944.0,PG,126 min,"Drama, Suspense, Western",A helicopter pilot and an environmental scientist lead a exodus of survivors in a search for a safe haven after a catastrophic tectonic event causes the crust of the earth to break apart.
s4536,,Meerkat Manor,Angshuman Ghosh,"Cameron Diaz, Ashton Kutcher, Rob Corddry, Lake Bell, Jason Sudeikis, Treat Williams, Deirdre O'Connell, Michelle Krusiec, Dennis Farina, Zach Galifianakis, Queen Latifah, Krysten Ritter, Ricky Garcia, Andrew Daly, Benita Robledo, Dennis Miller, Amanda Setton, Toni Busker, Jessica McKee, Ricardo Walker, Valerie Orlik, Ben Best, Clem Cheung, Eric Zuckerman, Caroline Willman, Thomas McGoldrick, Billy Eichner, Maddie Corman, Brian M. Wixson, Jerry V. Lindsay, Samantha Ridge, Richard M. Schaeffer, Michael P. Molnar, John Eisenberg, Ciaran T. O'Kelly, Jennifer Trier, Michael Harkins, Patrick Knighton, Adam Zuniga, Aaron Nauta, Christopher Negrin, Brittany Dawn Beall, Ariel Shafir, Sheena Alonzo, Bradley Morone, Cheryl Cosenza, Cassidy Gard, Meagan Gordon, Heather Kristin, Hector Lincoln, Matthew Martini, Sarah Poynter, Delia Sheppard, Tom Stratford, Jonathan Yvon, Dennis Albanese, Ronald E. Giles, Adam Goodnoff-Cernese, Sam Kalidi, Joe Mancini, Charles Pendelton, Thomas Torrey","United Kingdom, France","October 8, 2021",,R,207 min,"Arthouse, Comedy, International","In the 1970s in Argentina, after a farewell party held in honor of the son, the father Fermín López, appears to have been murdered on his desk. The public is surprised, but not his employees, domestic staff, or even his own family - as anyone around him could have wished his death."
s5229,Movie,Kristal Clear,Owen Benjamin,"Kristen Stewart, Jack O’Connell, Margaret Qualley, Zazie Beetz, Yvan Attal, Stephen Root, Colm Meany, Vince Vaughn, Anthony Mackie",Japan,"October 10, 2021",2019.0,16+,104 min,,Amanda stumbles upon a hidden village of fairies in the forest. They help her thwart a scheming land developer's plan to trick her mother into selling the family inn.
s907,TV Show,Grace,Roland Joffé,,"United States, Ireland","July 16, 2021",,PG-13,9 min,Horror,HD. A girls' trip to explore a labyrinth of North Carolina caves takes a terrifying turn in this spelunking scarefest.
s5123,Movie,Nazi Attack on America,Arther HIller,"Martin P. Robinson, Anthony Asbury, John Kennedy","United Kingdom, France","July 26, 2021",2015.0,16+,61 min,"Documentary, Faith and Spirituality",Enjoy the super fun dinosaur songs from BabyBus!
s8366,TV Show,Nootrenbadhu,Guy Vasilovich,"Monica Potter, Craig Bierko, Julianne Nicholson, Gael García Bernal, David Boreanaz, John Hannah, Anthony LaPaglia, Henry Thomas, Harold Ramis, Julie Christie","United Kingdom, Hungary, United States","June 15, 2021",1961.0,13+,550 min,,"Trouble drifting off to sleep? Settle down, close your eyes and listen to calming music and the soothing voice of Dr Daniel J Nightingale that will take you deeper and deeper into a peaceful state of relaxation, followed by restful sleep. Wake up refreshed, with a positive mind, and ready to face the day ahead."
s7691,TV Show,Devil's Snare,Taylor Wong,"Krishna, Ma Ka Pa Anand, Monal Gajjar, Niharika Kareer, Jayaprakash, Kovai Sarala, Thambi Ramaiah, Santhanam","United States, Italy","October 4, 2021",1966.0,7+,479 min,"Horror, Suspense","Ekkadiki Pothavu Chinnavada is a 2016 Telugu language supernatural romantic thriller film written and directed by Vi Anand and produced by P. V. Rao. It features Nikhil Siddharth, Hebah Patel, Nandita Swetha and Avika Gor in the lead roles. The film has dialogues by Abburi Ravi, music composed by Shekar Chandra, cinematography by Sai Sriram, and editing by Chota K. Prasad."
s8699,TV Show,Big Shrimpin',Mark Robson,"Carolina Ferraz, Arthur Vinciprova, Nayara Justino",Japan,"September 9, 2021",2006.0,AGES_18_,166 min,"Animation, Drama, Faith and Spirituality",Cross continental collaboration Extra Golden take an eager audience globe trekking at New York's Knitting Factory.
s2277,,The Last Apostle,Harald Reinl,"Shweta Tripathi Sharma, Sandeep Mehta, Suyash Joshi, Arun Nalawade, Rupesh Tillu","Japan, France","July 12, 2021",1985.0,R,80 min,"Arthouse, LGBTQ, Romance","When the daughter of a white German mother and an African father meets a member of the Hitler Youth - compulsory for all Aryan boys in 1944 Germany, they must battle against the fates laid out before them during the most brutal of times."
s9435,TV Show,Force of Nature,Dario Piana,"Glennellen Anderson, Taylor-Grace, Xavier Price, Mitchell Slan, Alex O'Neill, Nicholas S. Miller, Adrian Mauro, Johnson Marquarius","United States, Portugal","May 1, 2021",,TV-PG,95 min,"Adventure, Science Fiction, Suspense","A soothing video postcard with no narration-simply the natural sounds and video in HD. Scenes include, Eternity Beach Oahu, Asilomar Beach California, Trunk Bay St. John, San Jose del Cabo Mexico, Del Norte Coast Beach California, Cinnamon Beach St. John Vidigal Beach Rio de Janeiro, Sea of Cortez Mexico, Tunnels Beach Kauai and Beach Cabanas Cabo San Lucas Mexico."
s8855,,Pajanimals,Charles Dance,"Wilfried Zaha, Steve Parish, Ian Holloway, Dougie Freedman, Stephen Browett, Julian Speroni, Joel Ward, Damien Delaney, Peter Ramage, Mile Jedinak, Yannick Bolasie, Glenn Murray, Jonny Williams, Kevin Phillips, Mark Steel, Ben Bailey Smith, Kevin Day, Chris Grierson","United Kingdom, France, United States","April 30, 2021",1974.0,7+,15 Seasons,"Arts, Entertainment, and Culture, Drama, Science Fiction","Brad Williams possesses something that everyone can agree is funny: a disability. Brad is a dwarf and his inimitable take on disability, relationships, sex and race with perfect timing and explosive delivery proves that you can in fact overcome any shortcomings... pun intended. Copyright 2013 Laugh Out Loud Comedy, Inc. distributed by lolflix, Inc. filmed during the Laugh Out Loud Comedy Festival."
s8131,TV Show,Tooth Fairy 2: The Root of Evil,Abu Nizam,"Vishwa, Mirnalini Ravi, Narain, Manoj Bharathiraja, Stun Siva","United States, United Arab Emirates","June 29, 2021",2008.0,UNRATED,47 min,"Comedy, Romance","Civilian aristocrat Marcus DeVol enters military service on a purchased commission as captain of Chimera - a battered, old destroyer with a bottom-dollar crew. Marcus must lead his crew despite his youth, inexperience, and self doubt in this sci-fi drama."
s5211,Movie,Gold Digger,John Strickland,"Rutger Hauer, Sam Gittins, Jamie Foreman, David Yip, Adam Deacon, Luke Mably","United States, Germany, Brazil, Italy","September 11, 2021",2018.0,TV-Y,55 min,Special Interest,"Oscar winner Cuba Gooding, Jr.'s directorial debut is a thrilling story of sex, murder and revenge set in Louisiana. Also starring Oscar winner Richard Dreyfus, Famke Janssen (X-Men: Days of Future Past) and Katharine McPhee (Scorpion)."
s4820,Movie,Happythankyoumoreplease,Bradley Hasse,"Tobias Bienz, Sandra Zellweger, Joel Singh, Joachim Aeschlimann","Afghanistan, France","April 30, 2021",1958.0,ALL_AGES,111 min,"Adventure, Sports","T-Rex Ranch brings you another awesome fun-packed collection of Jurassic dinosaur videos! Watch your favourite park rangers get into all sorts of wonderful adventures, coming across lots of scary dinosaurs, awesome toys and much more!"
s3748,TV Show,Terrahawks,Zak Bagans,"Sanjay Mishra, Aditya Srivastava, Yashpal Sharma, Neeraj Sood, Mandakini Goswami, Rajesh Jais, Gauri Wankhede","United States, Japan, Singapore, South Korea","April 1, 2021",1970.0,UNRATED,75 min,,"When terrorists try to seize control of a Berlin-Paris flight, a soft-spoken young American co-pilot struggles to save the lives of the passengers and crew while forging a surprising connection with one of the hijackers."
s3218,TV Show,Drowning Mona,"Alicia Joy LeBlanc, Raja Gosnell","Sri, Urmila Mahanta, Mithun Murali, Manisha Yadav, Rethika Srinivas",Austria,"June 21, 2021",1959.0,AGES_16_,137 min,"Action, Unscripted","Upon arrival at an elite martial arts conservatory, a group of young boys swear allegiance to each other and form a gang. A decade later at graduation, they unexpectedly cross paths with an evil martial arts master and foil his kidnapping plan. Now, they must put their combat skills to the test in order to defeat this enemy and save their brotherhood."
s696,TV Show,Sinful,Daniel Roby,"Bruce Cabot, Gene Tierney, George Sanders, Cedric Hardwicke, Harry Carey","Kosovo, Albania, United States, Georgia","June 20, 2021",1926.0,R,28 min,Anime,"Christmas is here, so let's sing out loud with Christmas Finger Family Song and many more Christmas songs."
s3753,Movie,Saigon Baby,Heidi Horne,"Abhishek Bachchan, Uday Chopra, Aishwarya Rai Bachchan, Bipasha Basu, Rimi Sen, Hrithik Roshan",Mexico,"September 30, 2021",1976.0,16,96 min,"Arts, Entertainment, and Culture, Comedy, Documentary",LAPD homicide detective Sal LaBarbera and a team of master codebreakers use their unrivaled expertise to bring the most mysterious serial killer in American history into the light.
s3175,Movie,Bagdad Cafe,Neil LaBute,"Jim Davis, Robert Griffin, Babara Turner","United States, Italy","June 15, 2021",1922.0,13+,14 min,,Down and out private-eye Jimmy Baz reluctantly takes on a case to find a missing college student when the dead bodies of Muslim men start turning up leading him to believe he is now searching for a serial killer.
s6126,TV Show,Car School,Ricky Kennedy,,"France, Belgium",,1933.0,PG,68 min,"Horror, Science Fiction","Life is a rough ride for awkward, friendless, 12-year-old Moondance (Panabaker). But when a Pinto pony named Checkers leaps into her life, Moondance pursues a dream she never knew she had. Convinced that Checkers has champion potential, she enters him in the Bow Valley Classic, and in the process learns that only perseverance lands you in the winner's circle."
s3445,Movie,Smiles of Sad Men,Sean Breathnach,"Nick Frost, Malcolm McDowell, Samson Kayo, Susan Wokoma, Emma D'Arcy, Simon Pegg","United States, United Kingdom","June 23, 2021",1954.0,TV-Y7,88 min,"Action, Adventure, Western","Trained in the skills of sea power, Pi the fish can fight a shark, sink a squid or batter any random predator that ever threatens his friends and neighbors on the reef. Unfortunately, being the only hero in town can take its toll, especially when a group of sharks declares that the end of the reef is soon at hand."
s1271,TV Show,Mothers of the Bride,Ibrahim Yilla,"Ranga, Sashikala Dharmavarapu, Dayanand Reddy, Kiya Reddy, Anusha","Japan, France","June 3, 2021",2002.0,UNRATED,150 min,"Action, Comedy, Military and War","This is an incredible look at the life and times of three brothers, Barry, Robin and Maurice Gibb, one of the worlds first super groups, taking us on a journey from their roots to the pinnacle of their careers. This is a must for all music fans!"
s7165,Movie,God's Compass,Jeff Burr,"James Boss, Eric Park, Abel Ryu, Pedro Lanre","Poland, United States","March 30, 2021",1929.0,TV-PG,,Military and War,Devineni is a very power full pollution in Vijayawada city. An other position vangaveeti ranga is all so power full leader in Vijayawada city. Both are leaders good friends are beginning days.
s8281,TV Show,Protibimbo,Simon Hunter,"Vincent Spano, Michael Winslow","Canada, United States","September 18, 2021",1988.0,16,152 min,Historical,"Suryaprakash, an ambitious businessman, wishes to accumulate a lot of wealth for himself. He asks a scientist to clone him to replace him at home, while he gives his time to his business."
s4692,TV Show,,Brandyn T. Williams,"K. Bhagyaraj, Ashwini, K. K. Soundar, Kallapetti Singaram","United States, Portugal","October 5, 2021",2004.0,ALL,84 min,"Action, Horror, Science Fiction","Kick up the energy and power up results with your second tabata-style HIIT workout of this program. You'll work your entire body in this weighted HIIT workout, so get ready to sweat & feel the burn. Follow this program's weekly schedule for 4+ weeks for optimal results after 4+ weeks in Series 7.0. Head to my website (FitnessMaggie) for the 8.0 weekly schedule, yoga series schedules & more."
s5276,TV Show,Gary Gulman: In This Economy?,"Lea Borniotto, Vera Borniotto, Edoardo Nervi","Pat O'Brien, Babe Ruth, Lou Gehrig",Austria,"May 1, 2021",1954.0,NC-17,114 min,"Drama, International, Western","Film team decides to make a documentary about the famous Baron Palace, but after several attempts eventually led to catastrophic failure to extraction the necessary permits to shooting ."
s5744,TV Show,Bearry,John Holdsworth,"Tommy Chong, Freeway Ricky Ross, Michael Ruppert, Jello Biafra, Kevin Booth","Canada, Germany","April 24, 2021",1981.0,PG,128 min,"Comedy, Drama",This film is based on a real-life event of Sumiya Dorjsuren who competes in the 57 kg and ranks world number one judoka according to the Olympic ranking qualification in Rio Olympics 2016. The film has attracted many actual life events of Sumiya Dorjsuren including happy and sad moments but it will conclude with her competing in the Olympics and hoping that she'd be successful.
s4379,TV Show,,P.S. Mithran,"Louis Hayward, Joan Bennett, George Sanders",Canada,"August 1, 2021",2013.0,16+,,"Drama, Romance",Gary Cooper won the Oscar for the Best Actor in this classic tale of a lawman who stands alone to defend a town of cowardly citizens against a gang of revenge-seeking criminals.
s7254,Movie,Let Me Be Frank,Jacob Bellamy,"Julia Stockler, Carol Duarte, Flavia Gusmao","Poland, United States","October 1, 2021",2013.0,NC-17,71 min,"Arts, Entertainment, and Culture, Drama, International",Two sisters fall for the same man. One of them sacrifices her love but she is carrying a secret.
s2247,Movie,,Maneesh Sharma,"Timothy West, Prunella Scales","United Kingdom, United States","April 30, 2021",1995.0,TV-Y,154 min,"Animation, International, Kids","A little boy named Lincoln, who is bullied for the way he talks, creates a superhero in his head. A lonely man rescues a puppy who transforms his life and falls in love. This inspiring story illustrates how kindness can truly make a difference. From the creator of the hit faith and spirituality movie ""A Box of Faith"" comes this family movie of inspiration."
s4434,Movie,Twelve Legend,Ka-Wai Kam,"Bea Santos, Olunike Adeliyi, Ari Millen, Christine Horne, Dmitry Chepovetsky, Jon McLaren, Zoe Belkin, Paul Amos","Italy, Canada","July 27, 2021",1954.0,TV-NR,39 min,"Arthouse, Drama, LGBTQ","David Attenborough takes us into the remarkable lives of hummingbirds via stunning slow motion photography. Everything about these tiny birds is superb and extreme. They have the highest metabolism, fastest heart beat and most rapid wing beat in the avian world. They evolved to feed on flowering plants but are now a crucial part of wider ecosystems. How do they mate, raise their young, and live?"
s9097,Movie,The A-Team,Hans Petter Moland,"Icewear Vezzo, Neisha Neshae, K Deezy, Emory Lawrence, Mena Monroe, King Wesley","Denmark, United Kingdom, Czech Republic, Netherlands",,1932.0,7+,,"Action, Sports","For three decades, Jean Aspen and Tom Irons called Alaska's remote Brooks Range home. Choosing to live lightly with the land, their family built a log cabin and explored the valley on foot. Now elders, the couple decide to close the circle and erase their footprints. In their third documentary, they dismantle their home and carefully restore the site to intact wilderness."
s2805,TV Show,Rubbadubbers,Suneel Darshan,"John Abraham, Vivek Oberoi, Esha Deol, Lara Dutta, Ajay Devgn","France, United States","October 5, 2021",1952.0,TV-NR,76 min,"Comedy, Special Interest","Some time passed and Felícia narrates important moments in her life that took place during this period. She and still has a feeling of incompleteness. Upon meeting Sandra, she will begin to question her dreams and goals in life."
s2430,TV Show,The Farmer and the Belle: Saving Santaland,Zak Penn,Dwayne Perkins,"Canada, Germany","July 24, 2021",2011.0,TV-Y7,122 min,"Action, Suspense, Unscripted","Nursery rhymes, baby videos and kids songs that your preschooler can dance to all day long! Enjoy this collection of 22 Mother Goose Club hit videos. Your children can race along the tracks to ""Freight Train"", spin in circles with their friends to ""Ring Around the Rosy"" or do a robot dance to the original Mother Goose Club hit ""Rockin' Robot""!"
s8080,TV Show,Ghost Stories,David Gidali,Whitney Cummings,"United States, United Arab Emirates","August 17, 2021",2018.0,TV-Y7,2 min,"Action, Drama, International","Near the end of the Yuan Dynasty, different camps of fighters wreak havoc in the realm of combat. There are rumors that the possessor of Dragon Slaying Saber and Heavenly Sword can become the invincible fighter"
